"","do.call.rbind..nnpark..1...","do.call.rbind..nnpark..2..."
"435",45,4199248.68350933
"436",45,4199248.68356315
"437",45,4199248.69993988
"438",45,4199248.6999892
"439",45,4199248.70004767
"440",45,4199248.70010357
"441",45,4199248.72644567
"442",45,4199248.72647345
"443",45,4199248.68302273
"444",45,4199248.68309541
"445",45,4199248.68317402
"446",45,4199248.68322932
"447",45,4199248.68315768
"448",45,4199248.68366872
"449",45,4199248.68360261
"450",45,4199248.68372323
"451",45,4199248.68365663
"452",45,4199248.683774
"453",45,4199248.68371467
"454",45,4199248.68382311
"455",45,4199248.68322386
"456",45,4199248.6832768
"457",45,4199248.68333239
"458",45,4199248.68338005
"459",45,4199248.68339388
"460",45,4199248.68344114
"461",45,4199248.68388045
"462",45,4199248.68381905
"463",45,4199248.68388221
"464",45,4199248.68394281
"465",45,4199248.6840039
"466",45,4199248.71989504
"467",45,4199248.71992282
"468",45,4199248.71996255
"469",45,4199248.71999887
"470",45,4199248.72001622
"471",45,4199248.72006062
"472",45,4199248.72006989
"473",45,4199248.72011878
"474",45,4199248.72013705
"475",45,4199248.72050764
"476",45,4199248.72055657
"477",45,4199248.72061889
"478",45,4199248.72068307
"479",45,4199248.68331069
"480",45,4199248.68336521
"481",45,4199248.68326864
"482",45,4199248.68341883
"483",45,4199248.68332636
"484",45,4199248.68337689
"485",45,4199248.68346872
"486",45,4199248.68343415
"487",45,4199248.683525
"488",45,4199248.68347983
"489",45,4199248.68357185
"490",45,4199248.68363383
"491",45,4199248.68429387
"492",45,4199248.68404995
"493",45,4199248.68431187
"494",45,4199248.6841132
"495",45,4199248.68432911
"496",45,4199248.68417547
"497",45,4199248.68423371
"498",45,4199248.68435703
"499",45,4199248.68428773
"500",45,4199248.68436841
"501",45,4199248.72014518
"502",45,4199248.72026583
"503",45,4199248.72021396
"504",45,4199248.7203294
"505",45,4199248.72027468
"506",45,4199248.72038343
"507",45,4199248.7206776
"508",45,4199248.72059853
"509",45,4199248.72073193
"510",45,4199248.7206503
"511",45,4199248.72078774
"512",45,4199248.72070709
"513",45,4199248.68361935
"514",45,4199248.68367994
"515",45,4199248.68364763
"516",45,4199248.68374074
"517",45,4199248.68369869
"518",45,4199248.68379838
"519",45,4199248.68375213
"520",45,4199248.68423024
"521",45,4199248.68428838
"522",45,4199248.68418368
"523",45,4199248.68433799
"524",45,4199248.684232
"525",45,4199248.68439092
"526",45,4199248.68428631
"527",45,4199248.68434633
"528",45,4199248.68440595
"529",45,4199248.72000624
"530",45,4199248.72004812
"531",45,4199248.72012804
"532",45,4199248.72016661
"533",45,4199248.72024021
"534",45,4199248.72084527
"535",45,4199248.72086925
"536",45,4199248.68378671
"537",45,4199248.68384485
"538",45,4199248.68390269
"539",45,4199248.68381911
"540",45,4199248.68395455
"541",45,4199248.68387666
"542",45,4199248.68400287
"543",45,4199248.68442651
"544",45,4199248.68438171
"545",45,4199248.68447875
"546",45,4199248.68443563
"547",45,4199248.68453052
"548",45,4199248.70026196
"549",45,4199248.70022951
